UT,Publication Year,Document Type,lda_topic,lda_probability
WOS:001097227500001,2023,Article,4,0.45813456922529977
WOS:001488783300001,2025,Article,16,0.4084519042108204
WOS:001608018900001,2025,Article,1,0.5451961444285078
WOS:001310435100009,2024,Article,1,0.5126253541139876
WOS:000923554300003,2022,Article,5,0.7661088611142991
WOS:000558403600001,2021,Article,25,0.3698273253269901
WOS:000663776700013,2021,Article,4,0.24515384728235176
WOS:000906802100001,2023,Article,16,0.3370183132837131
WOS:000968680000008,2022,Article,24,0.6455650474999447
WOS:001037042700001,2023,Article,28,0.37800957218946113
WOS:000659385300002,2021,Article,16,0.5612549990118002
WOS:001590337300005,2022,Article,12,0.9111658040879914
WOS:001281681000001,2024,Article,28,0.6411567340375959
WOS:001590339600016,2023,Article,12,0.4070541917822397
WOS:001356438200001,2025,Article,23,0.5559433199104846
WOS:001383517000001,2025,Article,19,0.38981848698308735
WOS:000541423900038,2020,Article,4,0.5064830726505212
WOS:001273538600001,2024,Article,12,0.8084995424623155
WOS:000915588000001,2023,Article,4,0.27223952058015405
WOS:001333016800001,2024,Article,30,0.5124380524517542
WOS:000616382000001,2020,Article,16,0.26028959743899804
WOS:000850191800001,2020,Article,8,0.5612647726582789
WOS:000623093500011,2021,Article,24,0.3264320500872472
WOS:001233284200001,2024,Article,8,0.3032083344972653
WOS:000943518500001,2024,Article,2,0.3272340991836474
WOS:000609560700001,2021,Article,4,0.6531413848880069
WOS:000999000200005,2023,Article,5,0.41498582618320656
WOS:000868506300022,2022,Article,13,0.5940657721644872
WOS:001477831300001,2025,Article; Early Access,16,0.44130813881876857
WOS:000513703100001,2020,Article,3,0.5033920398389284
WOS:000635975800022,2021,Article,1,0.31964172370619104
WOS:001494514200001,2025,Article,17,0.40361202377031546
WOS:001603666800005,2025,Article,13,0.26862945502734514
WOS:000519466800006,2020,Article,4,0.3294143965083783
WOS:001336462500001,2025,Article,12,0.4401911780322784
WOS:000657541500003,2021,Article,1,0.35939184888383496
WOS:000543101300017,2020,Article,5,0.4843294135860614
WOS:000517149100010,2020,Article,18,0.29963802773830706
WOS:000517359200001,2020,Article,5,0.5635179348717905
WOS:000656870300012,2021,Article,23,0.5071579804259255
WOS:000514512200001,2022,Article,3,0.3735330641667114
WOS:000957285000001,2023,Article,4,0.3790306216362833
WOS:000591588300032,2020,Article,1,0.31482991736389754
WOS:000863855700003,2022,Article,18,0.3404163783673569
WOS:001378159700007,2024,Article,3,0.3025020964810046
WOS:001138014500001,2023,Article,22,0.21652573322453017
WOS:000668622500001,2021,Article,21,0.5065167800451377
WOS:001524922500001,2025,Article; Early Access,30,0.3720435455905668
WOS:000524215600001,2020,Article,16,0.4259841083720995
WOS:000812739600001,2022,Article,18,0.4032865110175055
