period,topic,count,period_total,share,display_name
P2_pandemic_transition,63,37,4806,0.007698709945900957,"Executive, Executive Function, Ef, Work Memory"
P2_pandemic_transition,64,19,4806,0.0039533915938410324,"Csam, Material Csam, Pornography, Enforcement"
P2_pandemic_transition,65,28,4806,0.005826050769870994,Psychosis & psychotic-like experiences
P2_pandemic_transition,66,32,4806,0.006658343736995423,"Aud, Drinking, Drink, Alcoholrelated"
P2_pandemic_transition,67,27,4806,0.0056179775280898875,"Alexithymia, Toronto, Toronto Alexithymia, Ta"
P2_pandemic_transition,68,32,4806,0.006658343736995423,"Pregnancy, Postpartum, Perinatal, Unintended"
P2_pandemic_transition,69,29,4806,0.006034124011652101,"Prevention Program, Schoolbased, Skill, Curriculum"
P2_pandemic_transition,70,30,4806,0.006242197253433208,"Ptg, Heal, Inquiry, Recovery"
P2_pandemic_transition,71,36,4806,0.00749063670411985,"Domestic, Domestic Violence, Dv, Witness Domestic"
P2_pandemic_transition,72,37,4806,0.007698709945900957,"Aggression, Aggressive, Reactive, Relational Aggression"
P2_pandemic_transition,73,31,4806,0.006450270495214316,"Caregiver, Caregiver Support, Caregiver Experience, Caregiverchild"
P2_pandemic_transition,74,34,4806,0.0070744902205576365,Maternal & infant mental health
P2_pandemic_transition,75,26,4806,0.005409904286308781,"Family Member, Family Function, Family Environment, Family Dynamic"
P2_pandemic_transition,76,33,4806,0.00686641697877653,"Narrative, Story, Autonomy, Psychoanalysis"
P2_pandemic_transition,78,31,4806,0.006450270495214316,"Selfcompassion, Compassion, Shame, Selfcriticism"
P2_pandemic_transition,80,31,4806,0.006450270495214316,College students & campus prevention
P2_pandemic_transition,81,26,4806,0.005409904286308781,"Childbirth, Maternity, Mistreatment, Obstetric"
P2_pandemic_transition,82,26,4806,0.005409904286308781,"Cptsd, Ptsd Cptsd, Icd, Complex Posttraumatic"
P2_pandemic_transition,83,33,4806,0.00686641697877653,"Experience Adverse, Household Dysfunction, Capital, Deviant"
P2_pandemic_transition,84,26,4806,0.005409904286308781,"Cortical, Matter, Thickness, Cortical Thickness"
P2_pandemic_transition,85,35,4806,0.007282563462338743,"Men Woman, Masculinity, Gay, Msm"
P2_pandemic_transition,87,31,4806,0.006450270495214316,Psychosis & psychotic-like experiences
P2_pandemic_transition,89,23,4806,0.00478568456096546,Adverse childhood experiences (ACE)
P2_pandemic_transition,90,29,4806,0.006034124011652101,"Gut, Microbiome, Ibs, Axis"
P2_pandemic_transition,91,17,4806,0.0035372451102788183,Adverse childhood experiences (ACE)
P2_pandemic_transition,92,35,4806,0.007282563462338743,"Genetic, Gene, Polymorphism, Geneenvironment"
P2_pandemic_transition,93,17,4806,0.0035372451102788183,"Ocd, Obsessivecompulsive, Obsessive Compulsive, Obsessive"
P2_pandemic_transition,94,34,4806,0.0070744902205576365,"Reward, Task, Neural, Processing"
P2_pandemic_transition,95,23,4806,0.00478568456096546,"Sibling, Ssa, Incest, Intrafamilial"
P2_pandemic_transition,96,12,4806,0.0024968789013732834,College students & campus prevention
P2_pandemic_transition,97,17,4806,0.0035372451102788183,"Cop Strategy, Cop Style, Style, Religious"
P2_pandemic_transition,98,26,4806,0.005409904286308781,"Infection, Genital, Vaginal, Lesion"
P2_pandemic_transition,99,21,4806,0.004369538077403246,"Adhd, Hyperactivity, Deficit Hyperactivity, Attentiondeficit"
P2_pandemic_transition,100,20,4806,0.004161464835622139,"Medium, Social Medium, Metoo, News"
P2_pandemic_transition,101,26,4806,0.005409904286308781,"Divorce, Alienation, Parental Education, Parental Divorce"
P2_pandemic_transition,102,16,4806,0.0033291718684977114,"Deprivation, Threat Deprivation, Deprivation Threat, Dimensional"
P2_pandemic_transition,103,20,4806,0.004161464835622139,Adverse childhood experiences (ACE)
P2_pandemic_transition,104,24,4806,0.004993757802746567,"Hr Ci, Hr, Ci Ci, Schoolchildren"
P3_post_pandemic,0,244,4818,0.0506434205064342,Maternal & infant mental health
P3_post_pandemic,1,270,4818,0.05603985056039851,Adverse childhood experiences (ACE)
P3_post_pandemic,2,127,4818,0.026359485263594853,PTSD treatment (EMDR / trauma-focused CBT)
P3_post_pandemic,3,117,4818,0.024283935242839352,"Csa, Csa Survivor, Experience Csa, Survivor Csa"
P3_post_pandemic,4,96,4818,0.019925280199252802,Intimate partner violence
P3_post_pandemic,5,109,4818,0.02262349522623495,"Injury, Fracture, Infant, Head"
P3_post_pandemic,6,109,4818,0.02262349522623495,"Attachment, Attachment Style, Style, Insecure"
P3_post_pandemic,7,109,4818,0.02262349522623495,COVID-19 pandemic impact
P3_post_pandemic,8,91,4818,0.018887505188875053,"Worker, Protection, Social Work, Social Worker"
P3_post_pandemic,9,75,4818,0.015566625155666251,"Offender, Offend, Juvenile, Criminal"
P3_post_pandemic,10,78,4818,0.0161892901618929,Epigenetics & DNA methylation
P3_post_pandemic,11,69,4818,0.014321295143212951,"Cortisol, Hpa, Axis, Hpa Axis"
P3_post_pandemic,13,96,4818,0.019925280199252802,"Cm, Mdd, History Cm, Relationship Cm"
P3_post_pandemic,14,62,4818,0.012868410128684102,Adverse childhood experiences (ACE)
P3_post_pandemic,15,63,4818,0.013075965130759652,"Hiv, Live Hiv, Adherence, Hiv Aid"
P3_post_pandemic,16,60,4818,0.012453300124533,"Drug, Opioid, Cannabis, Misuse"
P3_post_pandemic,18,63,4818,0.013075965130759652,Psychosis & psychotic-like experiences
P3_post_pandemic,20,58,4818,0.012038190120381901,"Church, Catholic, Clergy, Religious"
P3_post_pandemic,21,61,4818,0.01266085512660855,Borderline personality disorder
P3_post_pandemic,22,52,4818,0.010792860107928601,"Rape, Perpetrator, Assault, Myth"
P3_post_pandemic,23,78,4818,0.0161892901618929,"Mdd, Major Depressive, Depressive Mdd, Gyrus"
P3_post_pandemic,24,57,4818,0.011830635118306352,"Interviewer, Forensic Interview, Investigative, Forensic"
P3_post_pandemic,25,61,4818,0.01266085512660855,"Pain, Chronic Pain, Pelvic, Pelvic Pain"
P3_post_pandemic,26,61,4818,0.01266085512660855,"Eat, Ed, Eating, Binge Eat"
P3_post_pandemic,27,65,4818,0.013491075134910751,"Sleep, Sleep Quality, Sleep Disturbance, Disturbance"
P3_post_pandemic,28,59,4818,0.012245745122457451,"Connectivity, Functional, Functional Connectivity, Restingstate"
P3_post_pandemic,29,54,4818,0.0112079701120797,"Bd, Bipolar, Mood, Bipolar Bd"
P3_post_pandemic,30,53,4818,0.011000415110004151,"Emotion Regulation, Dysregulation, Emotion Dysregulation, Regulation Strategy"
P3_post_pandemic,33,43,4818,0.00892486508924865,"Dissociation, Dissociative, Dissociative Experience, Identity"
P3_post_pandemic,34,47,4818,0.009755085097550851,"Violence Exposure, Genderbased, Genderbased Violence, Exposure Violence"
P3_post_pandemic,35,52,4818,0.010792860107928601,"Disability, Intellectual, Intellectual Disability, Id"
P3_post_pandemic,36,48,4818,0.009962640099626401,Image-based sexual abuse
P3_post_pandemic,37,48,4818,0.009962640099626401,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction"
P3_post_pandemic,38,41,4818,0.008509755085097551,"Sport, Athlete, Coach, Harassment"
P3_post_pandemic,39,46,4818,0.009547530095475302,Maternal & infant mental health
P3_post_pandemic,40,52,4818,0.010792860107928601,"Depression Anxiety, Anxiety Depression, Anxiety Depressive, Trait Anxiety"
P3_post_pandemic,41,35,4818,0.0072644250726442506,"Externalize, Internalize, Internalize Externalize, Externalize Problem"
