topic,display_name,share_P1,share_P4,absolute_change_P1_to_P4,relative_change_P1_to_P4,count_P1,count_P4,z_stat_P1_vs_P4,p_value_P1_vs_P4,kendall_tau,kendall_p,mk_trend,theil_sen_slope_per_year,share_P1_pre_pandemic,share_P2_pandemic_transition,share_P3_post_pandemic,share_P4_recent,p_adj_P1_vs_P4,prevalence_class
67,"Alexithymia, Toronto, Toronto Alexithymia, Ta",0.008961518186610437,0.007285397529299968,-0.0016761206573104688,-0.18703534628929172,17,23,0.6511359789997248,0.5149587129730788,0.14285714285714288,0.7726190476190476,stable,0.0004536442552196497,0.008961518186610437,0.0056179775280898875,0.00684931506849315,0.007285397529299968,0.7973554265389607,stable
47,"Memory, False, Autobiographical, Autobiographical Memory",0.007380073800738007,0.009185936015204309,0.0018058622144663016,0.24469433006018387,14,29,-0.6768255689570253,0.4985166332073878,0.14285714285714288,0.7726190476190476,stable,0.00012659980094481115,0.007380073800738007,0.009363295880149813,0.007471980074719801,0.009185936015204309,0.7845507670149054,stable
43,"Traumainformed, Traumainformed Care, Traumainformed Practice, Principle",0.005798629414865577,0.011403230915426037,0.00560460150056046,0.9665390042330175,11,36,-2.0099978332401274,0.04443141818588048,0.14285714285714288,0.7726190476190476,stable,0.000285863472927242,0.005798629414865577,0.009779442363712027,0.0078870900788709,0.011403230915426037,0.26658850911528287,stable
37,"Parentchild, Parentchild Relationship, Parenting, Parentchild Interaction",0.009488666315234581,0.010452961672473868,0.0009642953572392872,0.10162601626016265,18,33,-0.3321225100394652,0.7397967533968872,0.14285714285714288,0.7726190476190476,stable,0.00016629959074076356,0.009488666315234581,0.008531002913025386,0.009962640099626401,0.010452961672473868,0.8918679376482384,stable
50,"Trait, Personality Trait, Personality Function, Personality Pathology",0.006852925672113864,0.008235666772252138,0.0013827411001382742,0.20177383592017742,13,26,-0.5439533739220612,0.5864735586400742,0.14285714285714288,0.7726190476190476,stable,0.00024239447032962675,0.006852925672113864,0.007698709945900957,0.0091324200913242,0.008235666772252138,0.800470203070064,stable
91,Adverse childhood experiences (ACE),0.004217185028993147,0.006968641114982578,0.002751456085989431,0.6524390243902438,8,22,-1.23300749976479,0.21757296609822685,0.14285714285714288,0.7726190476190476,stable,0.0005299064493349909,0.004217185028993147,0.0035372451102788183,0.006434205064342051,0.006968641114982578,0.5801945762619383,stable
98,"Infection, Genital, Vaginal, Lesion",0.0036900369003690036,0.004751346214760849,0.0010613093143918453,0.2876148242001901,7,15,-0.5549436602313776,0.5789331971988474,0.06666666666666665,1.0,stable,1.066407316407253e-06,0.0036900369003690036,0.005409904286308781,0.004151100041511001,0.004751346214760849,0.800470203070064,stable
72,"Aggression, Aggressive, Reactive, Relational Aggression",0.005798629414865577,0.006968641114982578,0.0011700117001170011,0.2017738359201774,11,22,-0.5000652767144053,0.6170291148665077,0.04761904761904762,1.0,stable,1.0569145930517873e-05,0.005798629414865577,0.007698709945900957,0.005396430053964301,0.006968641114982578,0.800470203070064,stable
103,Adverse childhood experiences (ACE),0.005271481286241434,0.004751346214760849,-0.000520135071480585,-0.09866962305986698,10,15,0.2552077691566832,0.7985626307909555,0.04761904761904762,1.0,stable,3.997642266458911e-05,0.005271481286241434,0.004161464835622139,0.004151100041511001,0.004751346214760849,0.9349025921455089,stable
87,Psychosis & psychotic-like experiences,0.008434370057986295,0.005384859043395629,-0.003049511014590666,-0.3615576496674058,16,17,1.3033669400078756,0.1924495176145391,0.04761904761904762,1.0,stable,8.034501705387817e-05,0.008434370057986295,0.006450270495214316,0.00394354503943545,0.005384859043395629,0.5278615340284502,stable
75,"Family Member, Family Function, Family Environment, Family Dynamic",0.005798629414865577,0.0063351282863477985,0.0005364988714822213,0.09252166901834308,11,20,-0.23653474931615479,0.8130177460923158,0.04761904761904762,1.0,stable,1.0569145930517873e-05,0.005798629414865577,0.005409904286308781,0.007679535076795351,0.0063351282863477985,0.9403578749983412,stable
41,"Externalize, Internalize, Internalize Externalize, Externalize Problem",0.010015814443858724,0.009819448843839089,-0.0001963656000196351,-0.019605554907223568,19,31,0.06829836881631943,0.9455481225948625,0.04761904761904762,1.0,stable,0.00010820659554836715,0.010015814443858724,0.009987515605493134,0.0072644250726442506,0.009819448843839089,0.9760496749366322,stable
39,Maternal & infant mental health,0.007380073800738007,0.005068102629078239,-0.0023119711716597683,-0.3132720937598986,14,16,1.036061526990125,0.3001734394283977,0.04761904761904762,1.0,stable,0.00012659980094481115,0.007380073800738007,0.01227632126508531,0.009547530095475302,0.005068102629078239,0.6861107186934804,stable
85,"Men Woman, Masculinity, Gay, Msm",0.005271481286241434,0.004117833386126069,-0.0011536479001153649,-0.21884700665188472,10,13,0.5900254956830716,0.5551735566565001,0.04761904761904762,1.0,stable,2.5574575462047368e-05,0.005271481286241434,0.007282563462338743,0.00560398505603985,0.004117833386126069,0.800260014569074,stable
52,"Selfesteem, Rosenberg, Rosenberg Selfesteem, Role Selfesteem",0.006852925672113864,0.009185936015204309,0.002333010343090445,0.34044004775712106,13,29,-0.8846572947900614,0.37634149498983493,0.04761904761904762,1.0,stable,2.2249858543945365e-05,0.006852925672113864,0.006242197253433208,0.009755085097550851,0.009185936015204309,0.7035052389168164,stable
